producto,pais,categoria,vendedor,precio,cantidad,total,año,mes,dia
P-002,Japón,Comestibles,Trystan Clough,$68.73,33,$2268.09,2023,abril,1
P-002,Japón,Comestibles,Trystan Clough,$68.73,83,$5704.59,2023,enero,9
P-002,Perú,Comestibles,Adaline Cox,$68.73,39,$2680.47,2023,abril,15
P-002,Perú,Comestibles,Dayton Dinsmor,$68.73,12,$824.76,2023,marzo,6
P-002,Perú,Comestibles,Dayton Dinsmor,$68.73,104,$7147.92,2023,mayo,31
P-002,Perú,Comestibles,Dylan Ogilvie,$68.73,18,$1237.14,2023,febrero,19
P-002,Perú,Comestibles,Dylan Ogilvie,$68.73,93,$6391.89,2023,junio,19
P-002,Perú,Comestibles,Jarrod Ives,$68.73,108,$7422.84,2023,abril,29
P-002,Perú,Comestibles,Oswaldo Lancaster,$68.73,12,$824.76,2023,febrero,26
P-002,Perú,Comestibles,Oswaldo Lancaster,$68.73,62,$4261.26,2023,junio,15
P-002,Perú,Comestibles,Oswaldo Lancaster,$68.73,104,$7147.92,2023,mayo,11
P-002,Perú,Comestibles,Skyla Broomfield,$68.73,15,$1030.95,2023,junio,27
P-002,Perú,Comestibles,Skyla Broomfield,$68.73,41,$2817.93,2023,marzo,4
P-002,Perú,Comestibles,Trystan Clough,$68.73,77,$5292.21,2023,febrero,28
P-002,USA,Comestibles,Adaline Cox,$68.73,63,$4329.99,2023,marzo,14
P-002,USA,Comestibles,Dayton Dinsmor,$68.73,28,$1924.44,2023,abril,30
P-002,USA,Comestibles,Dayton Dinsmor,$68.73,143,$9828.39,2023,marzo,13
P-002,USA,Comestibles,Dylan Ogilvie,$68.73,91,$6254.43,2023,marzo,17
P-002,USA,Comestibles,Jarrod Ives,$68.73,4,$274.92,2023,mayo,21
P-002,USA,Comestibles,Jarrod Ives,$68.73,122,$8385.06,2023,febrero,21
P-002,USA,Comestibles,Jarrod Ives,$68.73,123,$8453.79,2023,junio,13
P-002,USA,Comestibles,Oswaldo Lancaster,$68.73,39,$2680.47,2023,enero,23
P-002,USA,Comestibles,Skyla Broomfield,$68.73,95,$6529.35,2023,marzo,19
P-002,USA,Comestibles,Skyla Broomfield,$68.73,137,$9416.01,2023,febrero,10
P-002,USA,Comestibles,Skyla Pickering,$68.73,114,$7835.22,2023,abril,19
P-002,USA,Comestibles,Skyla Pickering,$68.73,128,$8797.44,2023,febrero,22
P-002,USA,Comestibles,Tess Askew,$68.73,105,$7216.65,2023,mayo,20
P-002,USA,Comestibles,Trystan Clough,$68.73,44,$3024.12,2023,junio,25
P-003,China,Ropa,Dylan Ogilvie,$73.55,5,$367.75,2023,abril,22
P-003,China,Ropa,Dylan Ogilvie,$73.55,76,$5589.80,2023,marzo,26
P-003,China,Ropa,Dylan Ogilvie,$73.55,141,$10370.55,2023,mayo,19
P-003,China,Ropa,Oliver Lundberg,$73.55,10,$735.50,2023,abril,8
P-003,China,Ropa,Oliver Lundberg,$73.55,98,$7207.90,2023,febrero,28
P-003,China,Ropa,Oliver Lundberg,$73.55,121,$8899.55,2023,junio,3
P-003,China,Ropa,Oswaldo Lancaster,$73.55,102,$7502.10,2023,junio,23
P-003,China,Ropa,Oswaldo Lancaster,$73.55,119,$8752.45,2023,abril,3
P-003,China,Ropa,Oswaldo Lancaster,$73.55,131,$9635.05,2023,abril,29
P-003,China,Ropa,Skyla Broomfield,$73.55,28,$2059.40,2023,febrero,21
P-003,China,Ropa,Skyla Broomfield,$73.55,37,$2721.35,2023,enero,7
P-003,China,Ropa,Skyla Broomfield,$73.55,66,$4854.30,2023,abril,7
P-003,China,Ropa,Skyla Pickering,$73.55,138,$10149.90,2023,mayo,5
P-003,China,Ropa,Trystan Clough,$73.55,52,$3824.60,2023,enero,5
P-003,Japón,Ropa,Dayton Dinsmor,$73.55,8,$588.40,2023,enero,22
P-003,Japón,Ropa,Dayton Dinsmor,$73.55,89,$6545.95,2023,junio,11
P-003,Japón,Ropa,Dylan Ogilvie,$73.55,8,$588.40,2023,febrero,16
P-003,Japón,Ropa,Jarrod Ives,$73.55,36,$2647.80,2023,enero,12
P-003,Japón,Ropa,Oliver Lundberg,$73.55,8,$588.40,2023,mayo,15
P-003,Japón,Ropa,Oliver Lundberg,$73.55,24,$1765.20,2023,enero,10
P-003,Japón,Ropa,Oliver Lundberg,$73.55,68,$5001.40,2023,junio,5
P-003,Japón,Ropa,Oliver Lundberg,$73.55,91,$6693.05,2023,junio,23
P-003,Japón,Ropa,Oliver Lundberg,$73.55,111,$8164.05,2023,junio,24
P-003,Japón,Ropa,Oswaldo Lancaster,$73.55,79,$5810.45,2023,mayo,25
P-003,Japón,Ropa,Skyla Broomfield,$73.55,49,$3603.95,2023,marzo,22
P-003,Japón,Ropa,Skyla Broomfield,$73.55,124,$9120.20,2023,marzo,8
P-003,Japón,Ropa,Tess Askew,$73.55,88,$6472.40,2023,mayo,30
P-003,Japón,Ropa,Tess Askew,$73.55,119,$8752.45,2023,mayo,15
P-003,Japón,Ropa,Trystan Clough,$73.55,30,$2206.50,2023,marzo,29
P-003,Japón,Ropa,Trystan Clough,$73.55,103,$7575.65,2023,junio,26
P-003,Perú,Ropa,Adaline Cox,$73.55,82,$6031.10,2023,enero,1
P-003,Perú,Ropa,Dayton Dinsmor,$73.55,23,$1691.65,2023,marzo,19
P-003,Perú,Ropa,Dayton Dinsmor,$73.55,41,$3015.55,2023,febrero,26
P-003,Perú,Ropa,Dayton Dinsmor,$73.55,87,$6398.85,2023,mayo,13
P-003,Perú,Ropa,Dayton Dinsmor,$73.55,145,$10664.75,2023,febrero,25
P-003,Perú,Ropa,Dylan Ogilvie,$73.55,29,$2132.95,2023,mayo,20
P-003,Perú,Ropa,Dylan Ogilvie,$73.55,46,$3383.30,2023,febrero,24
P-003,Perú,Ropa,Dylan Ogilvie,$73.55,83,$6104.65,2023,marzo,1
P-003,Perú,Ropa,Jarrod Ives,$73.55,67,$4927.85,2023,junio,15
P-003,Perú,Ropa,Jarrod Ives,$73.55,83,$6104.65,2023,enero,29
P-003,Perú,Ropa,Oliver Lundberg,$73.55,54,$3971.70,2023,febrero,16
P-003,Perú,Ropa,Oliver Lundberg,$73.55,59,$4339.45,2023,abril,4
P-003,Perú,Ropa,Skyla Broomfield,$73.55,85,$6251.75,2023,marzo,27
P-003,Perú,Ropa,Skyla Pickering,$73.55,76,$5589.80,2023,marzo,17
P-003,Perú,Ropa,Tess Askew,$73.55,45,$3309.75,2023,marzo,25
P-003,Perú,Ropa,Tess Askew,$73.55,75,$5516.25,2023,junio,27
P-003,Perú,Ropa,Tess Askew,$73.55,143,$10517.65,2023,marzo,27
P-003,Perú,Ropa,Trystan Clough,$73.55,69,$5074.95,2023,marzo,16
P-003,Perú,Ropa,Trystan Clough,$73.55,76,$5589.80,2023,marzo,11
P-003,Perú,Ropa,Trystan Clough,$73.55,90,$6619.50,2023,febrero,11
P-003,Perú,Ropa,Trystan Clough,$73.55,121,$8899.55,2023,marzo,30
P-003,USA,Ropa,Dayton Dinsmor,$73.55,48,$3530.40,2023,febrero,2
P-003,USA,Ropa,Dayton Dinsmor,$73.55,133,$9782.15,2023,junio,26
P-003,USA,Ropa,Dylan Ogilvie,$73.55,83,$6104.65,2023,marzo,4
P-003,USA,Ropa,Jarrod Ives,$73.55,85,$6251.75,2023,marzo,2
P-003,USA,Ropa,Jarrod Ives,$73.55,98,$7207.90,2023,febrero,14
P-003,USA,Ropa,Jarrod Ives,$73.55,105,$7722.75,2023,mayo,13
P-003,USA,Ropa,Jarrod Ives,$73.55,113,$8311.15,2023,enero,29
P-003,USA,Ropa,Jarrod Ives,$73.55,122,$8973.10,2023,mayo,23
P-003,USA,Ropa,Oliver Lundberg,$73.55,3,$220.65,2023,marzo,28
P-003,USA,Ropa,Oliver Lundberg,$73.55,29,$2132.95,2023,marzo,15
P-003,USA,Ropa,Oliver Lundberg,$73.55,40,$2942.00,2023,mayo,23
P-003,USA,Ropa,Oliver Lundberg,$73.55,103,$7575.65,2023,marzo,1
P-003,USA,Ropa,Skyla Broomfield,$73.55,22,$1618.10,2023,mayo,29
P-003,USA,Ropa,Skyla Broomfield,$73.55,25,$1838.75,2023,junio,11
P-003,USA,Ropa,Skyla Pickering,$73.55,39,$2868.45,2023,junio,3
P-003,USA,Ropa,Skyla Pickering,$73.55,56,$4118.80,2023,marzo,8
P-003,USA,Ropa,Skyla Pickering,$73.55,73,$5369.15,2023,enero,12
P-003,USA,Ropa,Tess Askew,$73.55,40,$2942.00,2023,junio,17
P-003,USA,Ropa,Tess Askew,$73.55,130,$9561.50,2023,marzo,13
P-004,China,Electrónica,Adaline Cox,$138.30,123,$17010.90,2023,febrero,24
P-004,China,Electrónica,Dayton Dinsmor,$138.30,49,$6776.70,2023,febrero,28
P-004,China,Electrónica,Jarrod Ives,$138.30,131,$18117.30,2023,marzo,21
P-004,China,Electrónica,Oliver Lundberg,$138.30,50,$6915.00,2023,abril,24
P-004,China,Electrónica,Oliver Lundberg,$138.30,78,$10787.40,2023,junio,21
P-004,China,Electrónica,Oliver Lundberg,$138.30,112,$15489.60,2023,mayo,23
P-004,China,Electrónica,Oliver Lundberg,$138.30,135,$18670.50,2023,mayo,28
P-004,China,Electrónica,Oswaldo Lancaster,$138.30,23,$3180.90,2023,abril,20
P-004,China,Electrónica,Oswaldo Lancaster,$138.30,47,$6500.10,2023,abril,26
P-004,China,Electrónica,Skyla Broomfield,$138.30,104,$14383.20,2023,junio,24
P-004,China,Electrónica,Skyla Broomfield,$138.30,136,$18808.80,2023,marzo,30
P-004,China,Electrónica,Skyla Pickering,$138.30,45,$6223.50,2023,mayo,6
P-004,China,Electrónica,Trystan Clough,$138.30,62,$8574.60,2023,marzo,28
P-004,Japón,Electrónica,Adaline Cox,$138.30,1,$138.30,2023,febrero,9
P-004,Japón,Electrónica,Adaline Cox,$138.30,77,$10649.10,2023,febrero,13
P-004,Japón,Electrónica,Adaline Cox,$138.30,86,$11893.80,2023,marzo,9
P-004,Japón,Electrónica,Dayton Dinsmor,$138.30,10,$1383.00,2023,mayo,22
P-004,Japón,Electrónica,Dayton Dinsmor,$138.30,27,$3734.10,2023,abril,29
P-004,Japón,Electrónica,Jarrod Ives,$138.30,20,$2766.00,2023,junio,13
P-004,Japón,Electrónica,Jarrod Ives,$138.30,35,$4840.50,2023,junio,24
P-004,Japón,Electrónica,Jarrod Ives,$138.30,43,$5946.90,2023,abril,24
P-004,Japón,Electrónica,Jarrod Ives,$138.30,81,$11202.30,2023,abril,16
P-004,Japón,Electrónica,Oswaldo Lancaster,$138.30,70,$9681.00,2023,febrero,10
P-004,Japón,Electrónica,Skyla Pickering,$138.30,60,$8298.00,2023,mayo,24
P-004,Japón,Electrónica,Trystan Clough,$138.30,41,$5670.30,2023,marzo,15
P-004,Perú,Electrónica,Adaline Cox,$138.30,147,$20330.10,2023,febrero,23
P-004,Perú,Electrónica,Dylan Ogilvie,$138.30,54,$7468.20,2023,febrero,17
P-004,Perú,Electrónica,Jarrod Ives,$138.30,58,$8021.40,2023,junio,15
P-004,Perú,Electrónica,Jarrod Ives,$138.30,122,$16872.60,2023,enero,7
P-004,Perú,Electrónica,Jarrod Ives,$138.30,138,$19085.40,2023,enero,10
P-004,Perú,Electrónica,Oliver Lundberg,$138.30,56,$7744.80,2023,abril,21
P-004,Perú,Electrónica,Oliver Lundberg,$138.30,84,$11617.20,2023,junio,3
P-004,Perú,Electrónica,Oswaldo Lancaster,$138.30,133,$18393.90,2023,mayo,31
P-004,Perú,Electrónica,Skyla Broomfield,$138.30,82,$11340.60,2023,enero,16
P-004,Perú,Electrónica,Skyla Pickering,$138.30,80,$11064.00,2023,marzo,20
P-004,Perú,Electrónica,Skyla Pickering,$138.30,140,$19362.00,2023,abril,28
P-004,Perú,Electrónica,Tess Askew,$138.30,16,$2212.80,2023,junio,4
P-004,Perú,Electrónica,Tess Askew,$138.30,97,$13415.10,2023,junio,2
P-004,USA,Electrónica,Adaline Cox,$138.30,13,$1797.90,2023,abril,9
P-004,USA,Electrónica,Adaline Cox,$138.30,56,$7744.80,2023,marzo,8
P-004,USA,Electrónica,Adaline Cox,$138.30,106,$14659.80,2023,enero,17
P-004,USA,Electrónica,Dayton Dinsmor,$138.30,58,$8021.40,2023,abril,8
P-004,USA,Electrónica,Dayton Dinsmor,$138.30,81,$11202.30,2023,abril,17
P-004,USA,Electrónica,Dylan Ogilvie,$138.30,90,$12447.00,2023,febrero,19
P-004,USA,Electrónica,Dylan Ogilvie,$138.30,108,$14936.40,2023,junio,19
P-004,USA,Electrónica,Dylan Ogilvie,$138.30,133,$18393.90,2023,febrero,22
P-004,USA,Electrónica,Jarrod Ives,$138.30,33,$4563.90,2023,abril,11
P-004,USA,Electrónica,Jarrod Ives,$138.30,38,$5255.40,2023,febrero,10
P-004,USA,Electrónica,Jarrod Ives,$138.30,145,$20053.50,2023,marzo,6
P-004,USA,Electrónica,Oliver Lundberg,$138.30,89,$12308.70,2023,marzo,3
P-004,USA,Electrónica,Oliver Lundberg,$138.30,139,$19223.70,2023,enero,12
P-004,USA,Electrónica,Oswaldo Lancaster,$138.30,136,$18808.80,2023,abril,16
P-004,USA,Electrónica,Skyla Broomfield,$138.30,138,$19085.40,2023,marzo,9
P-004,USA,Electrónica,Skyla Pickering,$138.30,123,$17010.90,2023,junio,21
P-004,USA,Electrónica,Tess Askew,$138.30,80,$11064.00,2023,mayo,8
P-004,USA,Electrónica,Trystan Clough,$138.30,74,$10234.20,2023,abril,28
P-005,China,Bebidas,Adaline Cox,$142.15,14,$1990.10,2023,febrero,2
P-005,China,Bebidas,Adaline Cox,$142.15,61,$8671.15,2023,enero,7
P-005,China,Bebidas,Adaline Cox,$142.15,98,$13930.70,2023,marzo,5
P-005,China,Bebidas,Adaline Cox,$142.15,99,$14072.85,2023,enero,7
P-005,China,Bebidas,Dayton Dinsmor,$142.15,14,$1990.10,2023,febrero,25
P-005,China,Bebidas,Dayton Dinsmor,$142.15,69,$9808.35,2023,febrero,5
P-005,China,Bebidas,Dayton Dinsmor,$142.15,105,$14925.75,2023,marzo,1
P-005,China,Bebidas,Dylan Ogilvie,$142.15,23,$3269.45,2023,marzo,27
P-005,China,Bebidas,Dylan Ogilvie,$142.15,61,$8671.15,2023,marzo,30
P-005,China,Bebidas,Jarrod Ives,$142.15,38,$5401.70,2023,febrero,22
P-005,China,Bebidas,Jarrod Ives,$142.15,92,$13077.80,2023,mayo,9
P-005,China,Bebidas,Jarrod Ives,$142.15,108,$15352.20,2023,enero,5
P-005,China,Bebidas,Oliver Lundberg,$142.15,12,$1705.80,2023,marzo,10
P-005,China,Bebidas,Oswaldo Lancaster,$142.15,9,$1279.35,2023,enero,16
P-005,China,Bebidas,Oswaldo Lancaster,$142.15,13,$1847.95,2023,enero,6
P-005,China,Bebidas,Skyla Broomfield,$142.15,17,$2416.55,2023,marzo,11
P-005,China,Bebidas,Skyla Broomfield,$142.15,63,$8955.45,2023,junio,8
P-005,China,Bebidas,Skyla Pickering,$142.15,104,$14783.60,2023,enero,28
P-005,China,Bebidas,Skyla Pickering,$142.15,132,$18763.80,2023,mayo,12
P-005,China,Bebidas,Tess Askew,$142.15,113,$16062.95,2023,abril,23
P-005,China,Bebidas,Trystan Clough,$142.15,45,$6396.75,2023,junio,12
P-005,China,Bebidas,Trystan Clough,$142.15,53,$7533.95,2023,abril,3
P-005,China,Bebidas,Trystan Clough,$142.15,84,$11940.60,2023,marzo,7
P-005,China,Bebidas,Trystan Clough,$142.15,93,$13219.95,2023,junio,23
P-005,Japón,Bebidas,Adaline Cox,$142.15,20,$2843.00,2023,febrero,16
P-005,Japón,Bebidas,Dayton Dinsmor,$142.15,19,$2700.85,2023,abril,29
P-005,Japón,Bebidas,Dayton Dinsmor,$142.15,81,$11514.15,2023,junio,16
P-005,Japón,Bebidas,Dayton Dinsmor,$142.15,129,$18337.35,2023,mayo,22
P-005,Japón,Bebidas,Dayton Dinsmor,$142.15,148,$21038.20,2023,febrero,28
P-005,Japón,Bebidas,Dylan Ogilvie,$142.15,111,$15778.65,2023,enero,19
P-005,Japón,Bebidas,Dylan Ogilvie,$142.15,122,$17342.30,2023,febrero,18
P-005,Japón,Bebidas,Jarrod Ives,$142.15,28,$3980.20,2023,enero,31
P-005,Japón,Bebidas,Jarrod Ives,$142.15,34,$4833.10,2023,junio,18
P-005,Japón,Bebidas,Jarrod Ives,$142.15,68,$9666.20,2023,marzo,30
P-005,Japón,Bebidas,Oliver Lundberg,$142.15,48,$6823.20,2023,mayo,3
P-005,Japón,Bebidas,Oswaldo Lancaster,$142.15,13,$1847.95,2023,marzo,27
P-005,Japón,Bebidas,Oswaldo Lancaster,$142.15,44,$6254.60,2023,marzo,25
P-005,Japón,Bebidas,Oswaldo Lancaster,$142.15,69,$9808.35,2023,febrero,28
P-005,Japón,Bebidas,Oswaldo Lancaster,$142.15,75,$10661.25,2023,enero,18
P-005,Japón,Bebidas,Skyla Pickering,$142.15,22,$3127.30,2023,marzo,3
P-005,Japón,Bebidas,Skyla Pickering,$142.15,36,$5117.40,2023,enero,8
P-005,Japón,Bebidas,Skyla Pickering,$142.15,65,$9239.75,2023,febrero,17
P-005,Japón,Bebidas,Tess Askew,$142.15,10,$1421.50,2023,mayo,30
P-005,Japón,Bebidas,Tess Askew,$142.15,31,$4406.65,2023,mayo,7
P-005,Japón,Bebidas,Tess Askew,$142.15,45,$6396.75,2023,febrero,18
P-005,Japón,Bebidas,Trystan Clough,$142.15,106,$15067.90,2023,febrero,14
P-005,Perú,Bebidas,Dylan Ogilvie,$142.15,25,$3553.75,2023,mayo,3
P-005,Perú,Bebidas,Dylan Ogilvie,$142.15,89,$12651.35,2023,enero,23
P-005,Perú,Bebidas,Jarrod Ives,$142.15,4,$568.60,2023,enero,26
P-005,Perú,Bebidas,Jarrod Ives,$142.15,34,$4833.10,2023,febrero,8
P-005,Perú,Bebidas,Jarrod Ives,$142.15,75,$10661.25,2023,abril,10
P-005,Perú,Bebidas,Jarrod Ives,$142.15,81,$11514.15,2023,febrero,2
P-005,Perú,Bebidas,Jarrod Ives,$142.15,82,$11656.30,2023,febrero,12
P-005,Perú,Bebidas,Jarrod Ives,$142.15,103,$14641.45,2023,mayo,26
P-005,Perú,Bebidas,Oliver Lundberg,$142.15,29,$4122.35,2023,junio,29
P-005,Perú,Bebidas,Oliver Lundberg,$142.15,44,$6254.60,2023,febrero,4
P-005,Perú,Bebidas,Oliver Lundberg,$142.15,98,$13930.70,2023,febrero,14
P-005,Perú,Bebidas,Oswaldo Lancaster,$142.15,53,$7533.95,2023,marzo,10
P-005,Perú,Bebidas,Skyla Broomfield,$142.15,86,$12224.90,2023,junio,26
P-005,Perú,Bebidas,Skyla Broomfield,$142.15,123,$17484.45,2023,abril,30
P-005,Perú,Bebidas,Skyla Pickering,$142.15,32,$4548.80,2023,abril,15
P-005,Perú,Bebidas,Tess Askew,$142.15,65,$9239.75,2023,enero,4
P-005,Perú,Bebidas,Trystan Clough,$142.15,117,$16631.55,2023,febrero,6
P-005,USA,Bebidas,Adaline Cox,$142.15,60,$8529.00,2023,junio,6
P-005,USA,Bebidas,Adaline Cox,$142.15,96,$13646.40,2023,junio,28
P-005,USA,Bebidas,Dayton Dinsmor,$142.15,11,$1563.65,2023,enero,14
P-005,USA,Bebidas,Dayton Dinsmor,$142.15,149,$21180.35,2023,junio,9
P-005,USA,Bebidas,Dylan Ogilvie,$142.15,14,$1990.10,2023,junio,14
P-005,USA,Bebidas,Jarrod Ives,$142.15,6,$852.90,2023,febrero,12
P-005,USA,Bebidas,Jarrod Ives,$142.15,43,$6112.45,2023,mayo,3
P-005,USA,Bebidas,Oliver Lundberg,$142.15,99,$14072.85,2023,mayo,13
P-005,USA,Bebidas,Oswaldo Lancaster,$142.15,12,$1705.80,2023,abril,10
